pris_idx,vac_idx,energy,vac_type,formation_energy
1090,3,-640.99059,O,2.845579550000025
203,3,-725.52887,O,2.850329550000083
104,3,-901.9665,O,2.850869550000084
1282,3,-1286.2899,Mo,2.8516409999999723
531,2,-1103.778,Cu,2.859482500000013
652,1,-1516.237,Cu,2.8628824999998415
446,2,-872.75538,Zn,2.8695463000000245
507,3,-826.64128,O,2.870499549999977
873,3,-759.75155,O,2.8821595500000967
652,2,-1516.2165,Cu,2.883382499999925
315,10,-940.35266,O,2.883829550000087
1346,2,-792.56165,Zr,2.8844275000000152
652,3,-1516.2141,Cu,2.885782500000005
496,7,-775.28356,H,2.89614830000005
509,2,-1072.4937,Ag,2.902048666666815
703,1,-759.08769,Ga,2.902877000000103
651,1,-851.33925,Cu,2.908822500000042
1015,1,-1025.159,Mn,2.9166762068964545
1354,7,-1280.3181,H,2.916718299999957
592,2,-881.54021,Zn,2.919896300000005
1030,11,-627.17605,O,2.929229550000059
204,3,-757.60893,O,2.933519550000028
785,3,-647.30078,O,2.9440095500000325
1353,7,-1278.0966,H,2.9465182999997523
1128,3,-633.38661,O,2.9504095500000176
567,2,-1054.3196,Ti,2.952631333333329
1023,4,-808.25965,O,2.952689550000059
1122,8,-1270.8483,H,2.955618299999742
480,19,-1365.8368,O,2.9573195499999656
855,1,-848.45293,Li,2.9589834333332874
1109,3,-491.50504,O,2.9615395499999977
1004,6,-1590.4425,Mn,2.9641762068963544
645,4,-1300.1123,O,2.968019550000008
1353,8,-1278.069,H,2.9741182999998728
1123,8,-1901.3816,H,2.9752183000000514
230,2,-740.05848,C,2.980087249999997
1282,2,-1286.161,Mo,2.980540999999903
1352,6,-1281.4112,H,2.9812182999999095
1030,17,-627.1203,O,2.984979550000048
1283,2,-1276.3927,Mo,2.986340999999811
60,4,-938.20498,O,3.001189550000049
895,3,-679.95657,O,3.0027595499999507
495,6,-790.78823,H,3.004588300000023
1123,7,-1901.3517,H,3.005118300000049
480,9,-1365.7863,O,3.007819550000022
650,1,-1520.378,Cu,3.0084825000001274
232,1,-823.89067,Ca,3.0092787000000953
1017,2,-762.81915,Zn,3.0116362999999637
1044,5,-658.08792,O,3.0130695499999547
469,7,-1656.0313,Cr,3.014103999999861
651,3,-851.23388,Cu,3.0141925000000356
167,3,-848.68785,Ru,3.0148044999999684
712,1,-722.86298,H,3.0159583000000794
1287,2,-1347.4045,Sr,3.019202099999802
464,8,-1662.9654,Cr,3.019203999999945
1181,3,-638.34674,O,3.019329550000066
